YB,GLON,GLAT,r,Vstrongest (km/s),g amplitude,g velocity,g stddev,uncertamp,uncertgvel,uncertstd,+/-,P(far),Extra
3244,107.6816754,1.194181679,0.006338746,3.48342154,4.836031437,3.48342154,2,0.2,0.2,0.2,5,0.5,none
3245,107.6864549,0.772538914,0.008881943,-57.52661994,2.252122402,-57.52661994,2,0.2,0.2,0.2,5,0.5,none
3246,107.6887181,0.235961597,0.006891098,-56.70215992,5.019525528,-56.70215992,2,0.2,0.2,0.2,5,0.5,none
3247,107.6941039,0.23023964,0.004309118,-56.70215992,4.576469421,-56.70215992,2,0.2,0.2,0.2,5,0.5,none
3248,107.6979154,2.124429817,0.00228423,-93.80286082,0.76209259,-93.80286082,2,0.2,0.2,0.2,5,0.5,none
3249,107.8424483,2.315748838,0.007845497,-12.18131884,0.675509572,-12.18131884,2,0.2,0.2,0.2,5,0.5,none
3250,107.8476878,1.406507013,0.002745466,2.65896152,2.718935013,2.65896152,2,0.2,0.2,0.2,5,0.5,none
3251,107.8614645,0.454371497,0.004526181,-6.4100987,1.143519521,-6.4100987,2,0.2,0.2,0.2,5,0.5,none
3252,107.8725035,1.150617275,0.007736453,3.48342154,2.660770416,3.48342154,2,0.2,0.2,0.2,5,0.5,none
3253,107.8743012,1.294681952,0.002772714,3.48342154,3.507432938,3.48342154,2,0.2,0.2,0.2,5,0.5,none
3254,107.8747105,0.658994924,0.002469953,-52.57985982,0.738954067,-52.57985982,2,0.2,0.2,0.2,5,0.5,none
3255,107.894683,1.997436309,0.00301755,-28.67051924,0.504102051,-28.67051924,2,0.2,0.2,0.2,5,0.5,none
3256,108.0005866,1.197213507,0.002183243,3.48342154,4.811645985,3.48342154,2,0.2,0.2,0.2,5,0.5,none
3257,108.0208752,1.523302261,0.002216305,-16.30361894,1.104362249,-16.30361894,2,0.2,0.2,0.2,5,0.5,none
3258,108.1179848,2.673864341,0.007085135,-64.94676012,1.212863922,-64.94676012,2,0.2,0.2,0.2,5,0.5,none
3259,108.1558537,1.019140016,0.001788612,-40.21295952,0.436232805,-40.21295952,2,0.2,0.2,0.2,5,0.5,none
3260,108.170437,2.051201201,0.006475564,-11.35685882,0.643472254,-11.35685882,2,0.2,0.2,0.2,5,0.5,none
3261,108.1706497,0.134428838,0.005513247,-46.80863968,7.09895277,-46.80863968,2,0.2,0.2,0.2,5,0.5,none
3262,108.1812111,0.610904252,0.007779101,-48.45755972,4.583639622,-48.45755972,2,0.2,0.2,0.2,5,0.5,none
3263,108.1971359,0.580061661,0.007665749,-49.28201974,11.03108788,-49.28201974,2,0.2,0.2,0.2,5,0.5,none
3264,108.2130177,0.141285561,0.004787656,-47.6330997,5.788408756,-47.6330997,2,0.2,0.2,0.2,5,0.5,none
3265,108.2170546,0.53053408,0.005812785,-52.57985982,2.4809196,-52.57985982,2,0.2,0.2,0.2,5,0.5,none
3266,108.3684118,0.63029057,0.003879421,-9.70793878,4.864616871,-9.70793878,2,0.2,0.2,0.2,5,0.5,none
3267,108.4746394,2.07635521,0.003914906,-10.5323988,0.867147267,-10.5323988,2,0.2,0.2,0.2,5,0.5,none
3268,108.4845939,0.846376109,0.002506801,-49.28201974,0.419024706,-49.28201974,2,0.2,0.2,0.2,5,0.5,none
3269,108.5309687,2.736673894,0.00308286,-10.5323988,1.267832756,-10.5323988,2,0.2,0.2,0.2,5,0.5,none
3270,108.5711119,0.689794094,0.003676925,-55.05323988,1.824379206,-55.05323988,2,0.2,0.2,0.2,5,0.5,none
3271,108.5802573,0.691640493,0.004589074,-55.05323988,2.506233931,-55.05323988,2,0.2,0.2,0.2,5,0.5,none
3272,108.5934645,2.899642965,0.00503138,-11.35685882,3.663495302,-11.35685882,2,0.2,0.2,0.2,5,0.5,none
3273,108.595972,0.495231238,0.007071684,-51.7553998,13.53130531,-51.7553998,2,0.2,0.2,0.2,5,0.5,none
3274,108.6895594,2.158510027,0.002419645,-6.4100987,0.850078344,-6.4100987,2,0.2,0.2,0.2,5,0.5,none
3275,108.691024,0.274539199,0.004321552,-54.22877986,2.932221174,-54.22877986,2,0.2,0.2,0.2,5,0.5,none
3276,108.7190093,2.31433118,0.002422916,23.27046202,0.41816473,23.27046202,2,0.2,0.2,0.2,5,0.5,none
3277,108.7368573,2.0436833,0.006511595,-91.32948076,0.964454174,-91.32948076,2,0.2,0.2,0.2,5,0.5,none
3278,108.7448255,2.044233325,0.004937422,-91.32948076,0.889272392,-91.32948076,2,0.2,0.2,0.2,5,0.5,none
3279,108.7624437,0.46077841,0.006068095,-52.57985982,4.328824997,-52.57985982,2,0.2,0.2,0.2,5,0.5,none
3280,108.780052,1.775684183,0.006993372,-33.61727936,1.513957024,-33.61727936,2,0.2,0.2,0.2,5,0.5,none
3281,108.7815977,0.252440779,0.006489528,-53.40431984,9.633805275,-53.40431984,2,0.2,0.2,0.2,5,0.5,none
3282,108.7940372,0.206962572,0.004271454,-53.40431984,7.109019756,-53.40431984,2,0.2,0.2,0.2,5,0.5,none
3283,108.8594585,2.486729084,0.006361991,-11.35685882,3.35992837,-11.35685882,2,0.2,0.2,0.2,5,0.5,none
3284,108.9535403,0.007501433,0.005334622,-52.57985982,4.004896164,-52.57985982,2,0.2,0.2,0.2,5,0.5,none
3285,108.9902574,1.513009768,0.005801389,-2.2877986,0.737520218,-2.2877986,2,0.2,0.2,0.2,5,0.5,none
3286,109.0147166,0.581553475,0.003977557,-3.93671864,1.686626792,-3.93671864,2,0.2,0.2,0.2,5,0.5,none
3287,109.1168095,0.675243335,0.005855151,-8.05901874,2.758940935,-8.05901874,2,0.2,0.2,0.2,5,0.5,none
3288,109.1562393,0.599811281,0.00344999,-52.57985982,0.568366289,-52.57985982,2,0.2,0.2,0.2,5,0.5,none
3289,109.1819433,0.287578309,0.002298521,-55.05323988,1.373721123,-55.05323988,2,0.2,0.2,0.2,5,0.5,none
3290,109.3514038,1.249014101,0.006747163,-3.11225862,2.72365427,-3.11225862,2,0.2,0.2,0.2,5,0.5,none
3291,109.3552751,0.448305795,0.00304235,-52.57985982,0.507523298,-52.57985982,2,0.2,0.2,0.2,5,0.5,none
3292,109.4712375,0.638671147,0.002968112,-2.2877986,0.929911137,-2.2877986,2,0.2,0.2,0.2,5,0.5,none
3293,109.690154,0.105693936,0.003665147,-53.40431984,0.707523346,-53.40431984,2,0.2,0.2,0.2,5,0.5,none
3294,109.811632,0.583659179,0.002886712,-53.40431984,2.086011887,-53.40431984,2,0.2,0.2,0.2,5,0.5,none
3295,109.9765512,0.171185491,0.007264134,-50.93093978,4.123981953,-50.93093978,2,0.2,0.2,0.2,5,0.5,none
3296,110.0142871,0.260514916,0.009231475,-54.22877986,5.669678688,-54.22877986,2,0.2,0.2,0.2,5,0.5,none
