YB,GLON,GLAT,r,Vstrongest (km/s),g amplitude,g velocity,g stddev,uncertamp,uncertgvel,uncertstd,+/-,P(far),Extra
126,5.190226579,-0.283771418,0.004144094,8.25,3.0477332443,8.05446610195,2.0,0.135747857742,0.188108660566,0.188108660566,5,0.5,none
127,5.204252754,-0.036484591,0.002311267,1.25,4.17596240044,0.54002664654,1.83294591949,0.233047210771,0.133018020582,0.133018020582,5,0.5,none
128,5.305111102,-0.009479675,0.001992694,9.0,6.48543509245,8.83564303259,0.868765305342,0.344909279505,0.069833677109,0.069833677109,5,0.5,none
129,5.305652796,0.066112394,0.001987082,10.5,6.46744625015,10.196658837,1.36497199308,0.257618127964,0.0627990041313,0.0627990041313,5,0.5,none
130,5.310109036,0.070987536,0.002195073,11.75,7.03025112605,10.8680548906,1.33559594316,0.222117544778,0.0487282279367,0.0487282279367,5,0.5,none
131,5.402021668,-0.271454444,0.004327344,2.25,2.73247890618,1.59927113486,1.04504836239,0.212904731244,0.126754495997,0.126754495997,5,0.5,none
132,5.475547599,-0.244474286,0.003612159,25.5,6.24733756185,26.1509052193,1.83924496382,0.185672446731,0.0765533201793,0.0765533201793,5,0.5,none
133,5.493276956,-0.103363093,0.002473511,11.5,3.03380958661,11.7589057648,0.70155078762,0.417618178284,0.908788235522,0.908788235522,5,0.5,none
134,5.528547726,0.139237553,0.002642246,30.25,2.45439324379,30.5750171806,0.61916730511,0.387364247997,0.231833608689,0.231833608689,5,0.5,none
135,5.544084716,-0.213412428,0.002409048,3.25,4.75446145535,3.58344147087,0.811244878952,0.343715972774,0.701307617595,0.701307617595,5,0.5,none
136,5.585344251,-0.379394949,0.004537695,14.75,5.25417194366,14.9148745525,1.23334261519,0.164456119705,0.0476628114858,0.0476628114858,5,0.5,none
137,5.590378474,-0.243614775,0.002859019,4.75,2.8985787034,5.32800656715,1.62481699298,0.177258250576,0.347026152337,0.347026152337,5,0.5,none
138,5.629761883,-0.292747463,0.004892859,15.75,4.91030991688,14.6946731822,2.0,0.128742152207,0.0810364352498,0.0810364352498,5,0.5,none
139,5.63329979,0.239131249,0.005175507,10.0,11.8095813434,9.5641639182,2.0,0.129705313183,0.0488911849769,0.0488911849769,5,0.5,none
140,5.706008552,-0.12659597,0.006159852,12.5,5.29998412013,12.8884355905,0.70062358076,0.211735028917,0.045563579544,0.045563579544,5,0.5,none
141,5.836503814,-0.513830094,0.003062772,Data_NA,5.29998412013,Data_NA,0.70062358076,0.211735028917,0.045563579544,0.045563579544,5,0.5,none
142,5.841939895,-0.515627908,0.005450366,Data_NA,5.29998412013,Data_NA,0.70062358076,0.211735028917,0.045563579544,0.045563579544,5,0.5,none
143,5.855313698,0.355007695,0.004476662,-17.25,2.01630662262,-16.3979228208,1.06126417296,0.234974958233,31.4900177566,31.4900177566,5,0.5,none
144,5.867890675,0.523250091,0.002893435,Data_NA,2.01630662262,Data_NA,1.06126417296,0.234974958233,31.4900177566,31.4900177566,5,0.5,none
145,5.882788179,-0.397958234,0.003868315,9.25,17.4860352134,9.37999565245,2.0,0.158338012099,0.02287713269,0.02287713269,5,0.5,none
146,5.885140712,-0.606357732,0.002234503,Data_NA,17.4860352134,Data_NA,2.0,0.158338012099,0.02287713269,0.02287713269,5,0.5,none
147,5.892527991,-0.290668936,0.002943085,10.25,9.28179963039,10.2055226112,1.56000684918,0.198539049543,0.0385330000685,0.0385330000685,5,0.5,none
148,5.897463646,-0.442152036,0.003738205,8.75,20.4213274956,8.85204250314,1.46331793236,0.214854823282,0.0276156430066,0.0276156430066,5,0.5,none
149,5.903745541,-0.357690434,0.003620786,9.5,11.165707469,9.30422206313,1.05595793739,0.305190902264,0.0590587244141,0.0590587244141,5,0.5,none
150,5.905821677,0.094460989,0.00377203,8.0,4.04987464026,7.7882641975,0.853028318333,0.265317976249,0.0705345038238,0.0705345038238,5,0.5,none
151,5.931169918,-0.084324707,0.002568404,84.5,6.97866439819,84.6214854528,1.02951264917,0.285850869842,0.0748835046357,0.0748835046357,5,0.5,none
152,5.944591473,-0.137650249,0.005526861,14.75,11.5082275271,14.6303837085,0.744453617677,0.176014878869,0.0160547410153,0.0160547410153,5,0.5,none
153,6.044407915,0.316149179,0.003877035,11.25,5.66428685188,11.2753649938,1.36714754889,0.199774832083,0.0767631719393,0.0767631719393,5,0.5,none
154,6.126476068,-0.629668198,0.001804818,Data_NA,5.66428685188,Data_NA,1.36714754889,0.199774832083,0.0767631719393,0.0767631719393,5,0.5,none
155,6.157553195,-0.070844578,0.003485866,NA,1.60255981162,55.6112091944,0.691106923752,0.322616962562,1.9857526869,1.9857526869,5,0.5,none
156,6.191131969,-0.363940912,0.003169642,-33.75,8.76785216331,-32.8121150501,1.78831295191,0.210224050587,0.0521962303188,0.0521962303188,5,0.5,none
157,6.218108049,-0.582879279,0.002816756,Data_NA,8.76785216331,Data_NA,1.78831295191,0.210224050587,0.0521962303188,0.0521962303188,5,0.5,none
158,6.222309787,-0.046731695,0.002266626,19.25,7.11304593086,19.3746649963,1.87188468965,0.239665020026,0.0756756727317,0.0756756727317,5,0.5,none
159,6.259562786,-0.281795907,0.003035295,13.25,6.4091770029,13.6311775006,2.0,0.187839755803,0.0811699593446,0.0811699593446,5,0.5,none
160,6.344553133,-0.01274757,0.002416392,-23.5,2.4209614858,-23.5425454826,0.518820895153,0.520826577134,0.555962649576,0.555962649576,5,0.5,none
161,6.3589344,-0.82353885,0.002857283,Data_NA,2.4209614858,Data_NA,0.518820895153,0.520826577134,0.555962649576,0.555962649576,5,0.5,none
162,6.364533763,-0.053770888,0.004824657,142.75,4.72265365505,142.062092847,1.5393715203,0.195571554259,0.0837006521556,0.0837006521556,5,0.5,none
163,6.552608318,-0.094379684,0.005170339,13.0,6.96958586,14.7259698718,2.0,0.118129455831,0.110613092513,0.110613092513,5,0.5,none
164,6.590317814,0.246113354,0.002526111,12.75,4.46095693111,12.7995593584,1.30598718507,0.287208409753,1.46639475775,1.46639475775,5,0.5,none
165,6.614399238,0.138618894,0.002827105,12.25,5.01709458828,12.2791873823,1.14117769042,0.369261801703,0.116956097381,0.116956097381,5,0.5,none
166,6.786257719,0.226324163,0.004517811,-8.75,1.86185346454,-8.66188877539,1.33717903913,0.204961903634,0.710918014784,0.710918014784,5,0.5,none
167,6.787389665,-0.018396582,0.001884238,5.75,4.63264346123,5.5099087831,1.32530973291,0.270247809524,0.887827571578,0.887827571578,5,0.5,none
